Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
-40.0,0.926403,0.009,0.008,273502.0,-0.05165416799999911,123.7848786,94.48290895328216,-0.05165416799999911,2.1786261014512833,117.61326000000001,1.8,Typical
-35.0,0.926964,0.009,0.008,273502.0,-0.060936767999999884,123.3435672,94.0963839040313,-0.060936767999999884,2.22645750702439,118.5146748,1.8,Typical
-30.0,0.927554,0.009,0.008,273502.0,-0.4157012527199999,122.8366206,93.64241256419402,-0.4157012527199999,2.2340421406159234,118.71682379999999,1.8,Typical
-25.0,0.928155,0.009,0.008,273502.0,-0.4483630781999999,122.2242966,92.94024121338852,-0.4483630781999999,2.166170388936044,115.36573320000001,1.8,Typical
-20.0,0.928781,0.009,0.008,331502.0,-0.4813044912000001,121.44865860000002,95.84050604798131,-0.4813044912000001,3.4308433340379567,114.3903384,1.8,Typical
-15.0,0.889954,0.01,0.001,295102.0,-0.5666874353999998,129.6853434,96.38322733307287,-0.5666874353999998,2.451516091728482,129.6853434,1.8,Typical
-10.0,0.89163,0.01,0.001,298102.0,-0.6038042039999997,130.080897,95.68732613239877,-0.6038042039999997,2.471948535892677,130.080897,1.8,Typical
-5.0,0.892305,0.01,0.001,325302.0,-0.6410970377999996,124.52974019999999,95.90176557423788,-0.6410970377999996,2.4607100915914017,124.52974019999999,1.8,Typical
0.0,0.894067,0.01,0.001,325302.0,-0.6784118856000003,123.61268520000002,94.92460184526357,-0.6784118856000003,2.4572461734275635,123.61268520000002,1.8,Typical
5.0,0.895851,0.01,0.001,325302.0,-0.12291083640000024,122.68241100000002,93.80680602897523,-0.12291083640000024,2.472484728827275,122.68241100000002,1.8,Typical
10.0,0.897672,0.01,0.001,325302.0,-0.051860921399999566,121.08176640000002,92.6629562149447,-0.051860921399999566,2.4496625687604774,121.08176640000002,1.8,Typical
15.0,0.899508,0.01,0.001,325302.0,-0.056496614400000124,119.7420156,91.42544379772539,-0.056496614400000124,2.46720598995139,119.7420156,1.8,Typical
20.0,0.901373,0.01,0.001,325302.0,-0.06335806859999962,116.2580724,90.06767421811286,-0.06335806859999962,2.363385097856377,116.2580724,1.8,Typical
25.0,0.903264,0.01,0.001,325302.0,-0.07128647820000031,114.8271498,88.69280930329424,-0.07128647820000031,2.3494036274709273,114.8271498,1.8,Typical
30.0,0.905184,0.01,0.001,325302.0,-0.08016942239999975,113.2991784,87.288616282535,-0.08016942239999975,2.1813771700781577,113.2991784,1.8,Typical
35.0,0.907126,0.01,0.001,324302.0,-0.08923318740000007,111.66479946,85.4730105412022,-0.08923318740000007,2.1957813750043202,111.66479946,1.8,Typical
40.0,0.909103,0.01,0.001,299302.0,-0.9653447303999998,109.92764491200002,82.82827451513835,-0.9653447303999998,2.114569395136664,109.92764491200002,1.8,Typical
45.0,0.911106,0.01,0.001,299402.0,-1.0173298824000003,108.70102134000001,81.31904767253039,-1.0173298824000003,2.113312370411094,108.70102134000001,1.8,Typical
50.0,0.913136,0.01,0.001,299402.0,-1.0574101674,107.28764658,79.80031226199094,-1.0574101674,2.1014704313527934,107.28764658,1.8,Typical
55.0,0.915208,0.01,0.001,299402.0,-1.0933692282,105.74048286000001,78.57966690982208,-1.0933692282,2.1068965580318824,105.74048286000001,1.8,Typical
60.0,0.917309,0.01,0.001,299402.0,-1.1399282135999993,104.1693534,77.09872873963877,-1.1399282135999993,2.090231841045936,104.1693534,1.8,Typical
65.0,0.919443,0.01,0.001,304402.0,-1.1739474576,102.18488219999999,75.5242075837552,-1.1739474576,2.059055630883338,102.18488219999999,1.8,Typical
70.0,0.921614,0.01,0.001,272302.0,-1.2053558682,100.33765379999998,74.26136925242974,-1.2053558682,2.0326305052799527,100.33765379999998,1.8,Typical
75.0,0.923824,0.01,0.001,272302.0,-1.2341582171999994,98.525295,72.8073935220359,-1.2341582171999994,2.0108486053625203,98.525295,1.8,Typical
80.0,0.926066,0.01,0.001,271302.0,-1.2601113912000004,96.71906519999999,71.47903889940467,-1.2601113912000004,1.9860272428107875,96.71906519999999,1.8,Typical
85.0,0.928363,0.01,0.001,274302.0,-0.2379699936000004,96.64163639999998,70.00517885880498,-0.2379699936000004,1.9896420063976907,94.9841424,1.8,Typical
90.0,0.956866,0.009,0.009,293402.0,-0.20715977160000024,96.5550114,67.69020388737256,-0.20715977160000024,1.9432851883845066,93.4007832,1.8,Typical
95.0,0.947402,0.009,0.008,360502.0,-1.1248315037999996,96.7574574,67.85600838318305,-1.1248315037999996,1.9563400653768286,92.0997378,1.8,Typical
100.0,0.956302,0.009,0.008,333502.0,-0.28938602159999965,96.4254618,65.52167772947871,-0.28938602159999965,2.656618871233527,92.48774580000001,1.8,Typical
105.0,0.958106,0.009,0.008,333502.0,-0.18977766659999853,95.9548374,64.29715596835172,-0.18977766659999853,2.6251101761778823,90.9534168,1.8,Typical
110.0,0.959973,0.009,0.008,349502.0,-0.18209378340000015,95.6349972,63.05085721912432,-0.18209378340000015,1.896454933882011,86.70280499999998,1.8,Typical
115.0,0.935301,0.009,0.007,356802.0,0.040108771800000005,94.96763999999999,60.56615730350751,0.040108771800000005,2.0645777599438677,86.948568,1.8,Typical
120.0,0.937913,0.009,0.007,350000.0,0.04386665880000003,93.822687,60.99269616723647,0.04386665880000003,2.0444587920697748,85.2026922,1.8,Typical
125.0,0.940172,0.009,0.007,350000.0,-0.17811318239999938,92.82870360000001,59.788741766403795,-0.17811318239999938,2.0025581406449633,88.2985356,1.8,Typical
